"Date","Team","Opponent","Age","Assist1","Assist2","Goalie","Period","Time","Strength","ArenaName","Result","HomeAway","ENG","PS"
1999-03-29,"NYR","NYI",38,NA,NA,"Wade Flaherty","3",1899-12-31 17:53:00,"EV","Madison Square Garden (IV)","W","H",0,0
1999-02-04,"NYR","VAN",38,"Petr Nedved","Niklas Sundstrom","Garth Snow","2",1899-12-31 16:21:00,"EV","Madison Square Garden (IV)","W","H",0,0
1999-01-10,"NYR","TBL",37,"Brian Leetch","Todd Harvey","Bill Ranford","3",1899-12-31 14:21:00,"PP","Madison Square Garden (IV)","W","H",0,0
1998-12-16,"NYR","NJD",37,"Niklas Sundstrom",NA,"Martin Brodeur","3",1899-12-31 13:35:00,"EV","Continental Airlines Arena","L","A",0,0
1998-12-02,"NYR","NYI",37,"Kevin Stevens",NA,"Tommy Salo","3",1899-12-31 04:10:00,"EV","Nassau Veterans Memorial Coliseum","W","A",0,0
1998-12-01,"NYR","FLA",37,"Petr Nedved","Kevin Stevens","Sean Burke","2",1899-12-31 04:02:00,"PP","Madison Square Garden (IV)","OTW","H",0,0
1998-11-29,"NYR","NSH",37,"Kevin Stevens","John MacLean","Mike Dunham","1",1899-12-31 09:15:00,"EV","Madison Square Garden (IV)","W","H",0,0
1998-11-07,"NYR","TOR",37,"Marc Savard","Mathieu Schneider","Curtis Joseph","3",1899-12-31 19:22:00,"EV","Maple Leaf Gardens","T","A",0,0
1998-10-17,"NYR","PIT",37,"Todd Harvey","Brian Leetch","Peter Skudra","2",1899-12-31 04:50:00,"PP","Pittsburgh Civic Arena","T","A",0,0
1998-04-15,"NYR","NYI",37,"Alex Kovalev","Adam Graves",NA,"3",1899-12-31 19:13:00,"EV","Madison Square Garden (IV)","W","H",1,0
1998-04-07,"NYR","MTL",37,"Niklas Sundstrom",NA,"Jocelyn Thibault","2",1899-12-31 07:34:00,"PP","Madison Square Garden (IV)","L","H",0,0
1998-04-01,"NYR","BOS",37,"Niklas Sundstrom","Alex Kovalev","Byron Dafoe","3",1899-12-31 00:39:00,"EV","Madison Square Garden (IV)","L","H",0,0
1998-03-22,"NYR","PHI",37,"Alex Kovalev",NA,"Sean Burke","2",1899-12-31 19:09:00,"EV","CoreStates Center","OTL","A",0,0
1998-03-22,"NYR","PHI",37,"Brian Leetch","Bruce Driver","Sean Burke","3",1899-12-31 18:18:00,"EV","CoreStates Center","OTL","A",0,0
1998-03-11,"NYR","SJS",37,"Alex Kovalev","Pat LaFontaine","Kelly Hrudey","2",1899-12-31 08:45:00,"PP","Madison Square Garden (IV)","W","H",0,0
1998-03-09,"NYR","NJD",37,"Kevin Stevens",NA,"Martin Brodeur","3",1899-12-31 18:55:00,"EV","Madison Square Garden (IV)","T","H",0,0
1998-03-07,"NYR","NJD",37,"Kevin Stevens",NA,"Martin Brodeur","2",1899-12-31 15:29:00,"PP","Continental Airlines Arena","L","A",0,0
1998-03-04,"NYR","FLA",37,"Brian Leetch","Alex Kovalev","Kevin Weekes","1",1899-12-31 19:18:00,"PP","Miami Arena","W","A",0,0
1998-03-04,"NYR","FLA",37,"Brian Leetch","Pat LaFontaine","Kevin Weekes","3",1899-12-31 06:58:00,"PP","Miami Arena","W","A",0,0
1998-01-24,"NYR","NJD",36,"Pat LaFontaine","Brian Leetch","Martin Brodeur","1",1899-12-31 15:31:00,"PP","Madison Square Garden (IV)","T","H",0,0
1998-01-03,"NYR","WSH",36,"Bruce Driver","Darren Langdon","Olaf Kolzig","2",1899-12-31 04:53:00,"EV","MCI Center","W","A",0,0
1998-01-03,"NYR","WSH",36,"Niklas Sundstrom",NA,"Olaf Kolzig","3",1899-12-31 19:38:00,"EV","MCI Center","W","A",0,0
1997-12-28,"NYR","BOS",36,"Alex Kovalev","Johan Lindbom","Byron Dafoe","1",1899-12-31 14:42:00,"EV","Madison Square Garden (IV)","W","H",0,0
1997-12-02,"NYR","WSH",36,"Kevin Stevens","Niklas Sundstrom","Olaf Kolzig","2",1899-12-31 19:53:00,"EV","Madison Square Garden (IV)","OTL","H",0,0
1997-11-28,"NYR","BUF",36,"Niklas Sundstrom",NA,"Dominik Hasek","3",1899-12-31 06:14:00,"EV","Marine Midland Arena","T","A",0,0
1997-11-21,"NYR","CAR",36,"Jeff Finley",NA,"Sean Burke","2",1899-12-31 09:56:00,"EV","Greensboro Coliseum","W","A",0,0
1997-11-07,"NYR","DAL",36,"Bill Berg","Brian Leetch","Ed Belfour","3",1899-12-31 12:52:00,"EV","Reunion Arena","T","A",0,0
1997-11-05,"NYR","COL",36,"Mike Eastwood","Bill Berg",NA,"3",1899-12-31 19:31:00,"EV","McNichols Sports Arena","W","A",1,0
1997-10-24,"NYR","TBL",36,"Niklas Sundstrom","Kevin Stevens","Corey Schwab","3",1899-12-31 09:17:00,"EV","Madison Square Garden (IV)","W","H",0,0
1997-10-11,"NYR","VAN",36,"Kevin Stevens","Jeff Beukeboom","Kirk McLean","3",1899-12-31 08:00:00,"EV","General Motors Place","W","A",0,0
1997-10-11,"NYR","VAN",36,"Niklas Sundstrom","Ulf Samuelsson","Kirk McLean","2",1899-12-31 11:34:00,"EV","General Motors Place","W","A",0,0
1997-10-11,"NYR","VAN",36,"Kevin Stevens","Ulf Samuelsson","Kirk McLean","2",1899-12-31 17:30:00,"EV","General Motors Place","W","A",0,0
1997-04-04,"NYR","BUF",36,"Brian Leetch","Niklas Sundstrom","Dominik Hasek","2",1899-12-31 00:42:00,"PP","Marine Midland Arena","L","A",0,0
1997-04-03,"NYR","BOS",36,"Jeff Beukeboom","Brian Leetch","Jim Carey","1",1899-12-31 05:39:00,"EV","Madison Square Garden (IV)","W","H",0,0
1997-03-24,"NYR","PIT",36,NA,NA,NA,"3",1899-12-31 19:09:00,"EV","Madison Square Garden (IV)","W","H",1,0
1997-03-21,"NYR","DET",36,"Esa Tikkanen",NA,"Chris Osgood","3",1899-12-31 07:52:00,"EV","Madison Square Garden (IV)","W","H",0,0
1997-03-19,"NYR","MTL",36,"Niklas Sundstrom","Bill Berg","Jocelyn Thibault","2",1899-12-31 16:03:00,"EV","Madison Square Garden (IV)","L","H",0,0
1997-03-17,"NYR","OTT",36,"Bruce Driver",NA,"Ron Tugnutt","3",1899-12-31 15:08:00,"EV","Madison Square Garden (IV)","L","H",0,0
1997-03-12,"NYR","WSH",36,"Brian Leetch","Mark Messier","Bill Ranford","1",1899-12-31 15:59:00,"EV","Madison Square Garden (IV)","W","H",0,0
1997-03-06,"NYR","LAK",36,"Chris Ferraro","Bruce Driver","Byron Dafoe","1",1899-12-31 04:02:00,"PP","Great Western Forum","W","A",0,0
1997-02-21,"NYR","HAR",36,"Doug Lidster","Mike Eastwood","Sean Burke","2",1899-12-31 17:54:00,"EV","Hartford Civic Center","L","A",0,0
1996-12-30,"NYR","DAL",35,"Alexander Karpovtsev","Brian Noonan","Andy Moog","1",1899-12-31 01:26:00,"EV","Reunion Arena","W","A",0,0
1996-12-30,"NYR","DAL",35,"Niklas Sundstrom","Luc Robitaille","Andy Moog","3",1899-12-31 18:44:00,"EV","Reunion Arena","W","A",0,0
1996-12-16,"NYR","HAR",35,"Niklas Sundstrom","Jeff Beukeboom","Jean-Sebastien Giguere","3",1899-12-31 00:38:00,"EV","Madison Square Garden (IV)","W","H",0,0
1996-12-07,"NYR","TOR",35,"Ulf Samuelsson",NA,"Felix Potvin","2",1899-12-31 06:49:00,"EV","Maple Leaf Gardens","W","A",0,0
1996-12-06,"NYR","TOR",35,"Ulf Samuelsson",NA,"Marcel Cousineau","3",1899-12-31 16:57:00,"EV","Madison Square Garden (IV)","W","H",0,0
1996-12-06,"NYR","TOR",35,"Luc Robitaille","Niklas Sundstrom","Marcel Cousineau","1",1899-12-31 10:25:00,"EV","Madison Square Garden (IV)","W","H",0,0
1996-12-01,"NYR","MTL",35,"Pat Flatley",NA,"Jocelyn Thibault","3",1899-12-31 11:54:00,"EV","Madison Square Garden (IV)","W","H",0,0
1996-11-16,"NYR","PIT",35,"Alexander Karpovtsev","Brian Noonan","Ken Wregget","2",1899-12-31 09:18:00,"PP","Pittsburgh Civic Arena","W","A",0,0
1996-11-11,"NYR","VAN",35,"Alex Kovalev",NA,"Kirk McLean","2",1899-12-31 16:59:00,"EV","Madison Square Garden (IV)","L","H",0,0
1996-11-02,"NYR","BOS",35,"Luc Robitaille",NA,"Scott Bailey","1",1899-12-31 05:57:00,"EV","FleetCenter","W","A",0,0
1996-10-29,"NYR","FLA",35,"Christian Dube","Daniel Goneau","John Vanbiesbrouck","3",1899-12-31 15:20:00,"PP","Madison Square Garden (IV)","T","H",0,0
1996-10-27,"NYR","BUF",35,"Niklas Sundstrom","Alexander Karpovtsev","Andrei Trefilov","2",1899-12-31 13:26:00,"EV","Madison Square Garden (IV)","W","H",0,0
1996-10-25,"NYR","FLA",35,"Luc Robitaille","Bruce Driver","John Vanbiesbrouck","3",1899-12-31 10:10:00,"PP","Miami Arena","L","A",0,0
1996-10-20,"NYR","TBL",35,"Niklas Sundstrom",NA,"Corey Schwab","1",1899-12-31 13:45:00,"EV","Ice Palace","L","A",0,0
1996-10-14,"NYR","CGY",35,"Bruce Driver","Alex Kovalev","Trevor Kidd","3",1899-12-31 10:39:00,"PP","Madison Square Garden (IV)","W","H",0,0
1996-10-10,"NYR","DAL",35,NA,NA,"Andy Moog","2",1899-12-31 19:13:00,"EV","Madison Square Garden (IV)","L","H",0,0
1996-04-03,"STL","COL",35,NA,NA,"Patrick Roy","2",1899-12-31 07:54:00,"PP","McNichols Sports Arena","W","A",0,0
1996-03-28,"STL","NJD",35,NA,NA,"Martin Brodeur","1",1899-12-31 06:39:00,"SH","Kiel Center","T","H",0,0
1996-03-24,"STL","DET",35,NA,NA,"Chris Osgood","1",1899-12-31 15:55:00,"EV","Kiel Center","T","H",0,0
1996-03-18,"STL","LAK",35,"Stephane Matteau","Brett Hull","Kelly Hrudey","2",1899-12-31 07:00:00,"EV","Great Western Forum","W","A",0,0
1996-03-15,"STL","SJS",35,"Brett Hull","Shayne Corson","Geoff Sarjeant","3",1899-12-31 16:06:00,"EV","San Jose Arena","W","A",0,0
1996-03-09,"STL","HAR",35,"Al MacInnis",NA,"Jason Muzzatti","2",1899-12-31 15:52:00,"EV","Kiel Center","W","H",0,0
1996-03-09,"STL","HAR",35,"Chris Pronger",NA,NA,"3",1899-12-31 19:45:00,"EV","Kiel Center","W","H",1,0
1996-02-29,"STL","VAN",35,"Stephane Matteau","Brett Hull","Kirk McLean","1",1899-12-31 16:24:00,"EV","General Motors Place","T","A",0,0
1996-02-21,"LAK","EDM",35,"Shane Churla","Dmitri Khristich","Curtis Joseph","1",1899-12-31 08:27:00,"EV","Edmonton Coliseum","L","A",0,0
1996-01-27,"LAK","MDA",35,"Dmitri Khristich","Vitali Yachmenev","Guy Hebert","1",1899-12-31 05:16:00,"EV","Great Western Forum","W","H",0,0
1996-01-06,"LAK","SJS",34,"Darryl Sydor","Tony Granato","Chris Terreri","1",1899-12-31 11:03:00,"PP","Great Western Forum","W","H",0,0
1996-01-05,"LAK","SJS",34,"Tony Granato",NA,NA,"3",1899-12-31 19:38:00,"EV","San Jose Arena","W","A",1,0
1996-01-03,"LAK","WIN",34,"Dmitri Khristich","Rick Tocchet","Tim Cheveldae","1",1899-12-31 14:29:00,"EV","Great Western Forum","L","H",0,0
1995-12-29,"LAK","EDM",34,"Eric Lacroix","Rick Tocchet","Bill Ranford","2",1899-12-31 11:32:00,"EV","Edmonton Coliseum","OTL","A",0,0
1995-12-20,"LAK","VAN",34,NA,NA,"Kirk McLean","3",1899-12-31 18:09:00,"EV","Great Western Forum","T","H",0,0
1995-12-06,"LAK","WIN",34,"Jari Kurri","Marty McSorley","Tim Cheveldae","2",1899-12-31 10:19:00,"PP","Great Western Forum","W","H",0,0
1995-11-16,"LAK","NYI",34,"Vladimir Tsyplakov","Denis Tsygurov","Tommy Soderstrom","3",1899-12-31 11:29:00,"EV","Great Western Forum","W","H",0,0
1995-11-14,"LAK","DET",34,"Dmitri Khristich","Rick Tocchet","Chris Osgood","3",1899-12-31 19:33:00,"EV","Great Western Forum","L","H",0,0
1995-11-13,"LAK","MDA",34,"Tony Granato","Aki Berg","Guy Hebert","2",1899-12-31 15:53:00,"EV","Arrowhead Pond of Anaheim","W","A",0,0
1995-11-11,"LAK","PIT",34,"Vitali Yachmenev","Darryl Sydor",NA,"3",1899-12-31 18:55:00,"EV","Great Western Forum","W","H",1,0
1995-11-02,"LAK","NYR",34,NA,NA,"Mike Richter","3",1899-12-31 07:34:00,"PP","Great Western Forum","W","H",0,0
1995-10-28,"LAK","TOR",34,"Dmitri Khristich","Denis Tsygurov","Felix Potvin","3",1899-12-31 08:10:00,"PP","Maple Leaf Gardens","T","A",0,0
1995-10-12,"LAK","VAN",34,"Rob Blake","Vitali Yachmenev","Kirk McLean","1",1899-12-31 04:52:00,"PP","Great Western Forum","T","H",0,0
1995-04-30,"LAK","MDA",34,"Dan Quinn",NA,"Guy Hebert","1",1899-12-31 17:24:00,"PP","Great Western Forum","W","H",0,0
1995-04-06,"LAK","DAL",34,"Darryl Sydor",NA,"Andy Moog","2",1899-12-31 04:23:00,"EV","Great Western Forum","W","H",0,0
1995-04-01,"LAK","WIN",34,"Tony Granato","Eric Lacroix","Nikolai Khabibulin","1",1899-12-31 01:24:00,"EV","Great Western Forum","T","H",0,0
1995-04-01,"LAK","WIN",34,NA,NA,"Nikolai Khabibulin","1",1899-12-31 11:49:00,"EV","Great Western Forum","T","H",0,0
1995-03-20,"LAK","STL",34,"Darryl Sydor",NA,"Curtis Joseph","1",1899-12-31 10:06:00,"EV","Great Western Forum","W","H",0,0
1995-03-20,"LAK","STL",34,"Rob Cowie","Marty McSorley","Curtis Joseph","1",1899-12-31 15:43:00,"EV","Great Western Forum","W","H",0,0
1995-03-13,"LAK","TOR",34,"Rick Tocchet","Tony Granato",NA,"3",1899-12-31 19:33:00,"EV","Maple Leaf Gardens","W","A",1,0
1995-02-23,"LAK","CGY",34,"Kevin Brown",NA,"Trevor Kidd","2",1899-12-31 17:52:00,"EV","Great Western Forum","T","H",0,0
1995-02-18,"LAK","VAN",34,"Tony Granato","Jari Kurri","Kirk McLean","2",1899-12-31 10:12:00,"PP","Great Western Forum","L","H",0,0
1995-01-26,"LAK","STL",34,"Alexei Zhitnik","Rob Blake","Curtis Joseph","2",1899-12-31 03:28:00,"EV","Kiel Center","L","A",0,0
1995-01-20,"LAK","TOR",33,"Rick Tocchet","Jari Kurri","Felix Potvin","1",1899-12-31 13:12:00,"PP","Great Western Forum","T","H",0,0
1994-04-02,"LAK","EDM",33,"Kevin Todd","Rob Blake","Bill Ranford","3",1899-12-31 17:32:00,"PP","Great Western Forum","L","H",0,0
1994-03-23,"LAK","VAN",33,"Marty McSorley","Luc Robitaille","Kirk McLean","2",1899-12-31 14:47:00,"PP","Great Western Forum","L","H",0,0
1994-03-20,"LAK","SJS",33,"Alexei Zhitnik","Jari Kurri","Arturs Irbe","3",1899-12-31 19:11:00,"EV","San Jose Arena","T","A",0,0
1994-03-20,"LAK","SJS",33,NA,NA,"Arturs Irbe","1",1899-12-31 06:16:00,"EV","San Jose Arena","T","A",0,0
1994-03-15,"LAK","OTT",33,"Robert Lang","John Druce","Craig Billington","3",1899-12-31 03:15:00,"EV","Great Western Forum","W","H",0,0
1994-03-02,"LAK","HAR",33,"Dixon Ward",NA,"Sean Burke","1",1899-12-31 11:54:00,"EV","Hartford Civic Center","W","A",0,0
1994-02-26,"LAK","CGY",33,"Doug Houda",NA,"Mike Vernon","1",1899-12-31 11:49:00,"EV","Olympic Saddledome","L","A",0,0
1994-02-25,"LAK","EDM",33,"Jari Kurri",NA,"Bill Ranford","2",1899-12-31 14:14:00,"SH","Northlands Coliseum","T","A",0,0
1994-02-21,"LAK","TOR",33,"Jari Kurri",NA,"Felix Potvin","2",1899-12-31 11:05:00,"EV","Great Western Forum","L","H",0,0
1994-02-21,"LAK","TOR",33,"Luc Robitaille","Rob Blake","Felix Potvin","2",1899-12-31 12:42:00,"PP","Great Western Forum","L","H",0,0
1994-02-11,"LAK","MDA",33,"Tim Watters","Rob Blake",NA,"3",1899-12-31 18:48:00,"EV","Arrowhead Pond of Anaheim","W","A",1,0
1994-02-11,"LAK","MDA",33,"Mike Donnelly","Jari Kurri","Guy Hebert","1",1899-12-31 10:23:00,"EV","Arrowhead Pond of Anaheim","W","A",0,0
1994-02-05,"LAK","CGY",33,NA,NA,"Trevor Kidd","3",1899-12-31 18:00:00,"PP","Great Western Forum","OTL","H",0,0
1994-02-02,"LAK","EDM",33,"Jari Kurri","Alexei Zhitnik","Bill Ranford","2",1899-12-31 12:08:00,"EV","Northlands Coliseum","L","A",0,0
1994-01-27,"LAK","NYR",33,"Rob Blake","Jari Kurri","Mike Richter","2",1899-12-31 07:12:00,"PP","Great Western Forum","OTL","H",0,0
1994-01-24,"LAK","CGY",32,NA,NA,"Andrei Trefilov","2",1899-12-31 12:22:00,"PP","America West Arena","T","A",0,0
1994-01-16,"LAK","PHI",32,"Tony Granato","Mike Donnelly","Dominic Roussel","2",1899-12-31 19:17:00,"EV","The Spectrum","L","A",0,0
1994-01-15,"LAK","NJD",32,"Jari Kurri",NA,NA,"3",1899-12-31 19:56:00,"EV","Brendan Byrne Arena","W","A",1,0
1994-01-15,"LAK","NJD",32,NA,NA,"Chris Terreri","1",1899-12-31 07:56:00,"SH","Brendan Byrne Arena","W","A",0,0
1994-01-12,"LAK","HAR",32,"Jari Kurri","Rob Blake","Sean Burke","1",1899-12-31 10:34:00,"PP","Great Western Forum","W","H",0,0
1994-01-12,"LAK","HAR",32,"Jari Kurri","Tim Watters",NA,"3",1899-12-31 19:23:00,"SH","Great Western Forum","W","H",1,0
1994-01-01,"LAK","TOR",32,"Charlie Huddy","Jari Kurri","Damian Rhodes","2",1899-12-31 12:55:00,"PP","Maple Leaf Gardens","W","A",0,0
1993-12-28,"LAK","VAN",32,"Rob Blake","Luc Robitaille","Kirk McLean","3",1899-12-31 05:22:00,"PP","Great Western Forum","W","H",0,0
1993-12-20,"LAK","CGY",32,"Mike Donnelly","Jari Kurri","Mike Vernon","1",1899-12-31 18:08:00,"EV","Olympic Saddledome","OTW","A",0,0
1993-12-20,"LAK","CGY",32,"Alexei Zhitnik","Mike Donnelly","Mike Vernon","2",1899-12-31 17:31:00,"EV","Olympic Saddledome","OTW","A",0,0
1993-12-13,"LAK","OTT",32,"Charlie Huddy",NA,"Craig Billington","3",1899-12-31 14:51:00,"SH","Civic Centre Arena","L","A",0,0
1993-11-30,"LAK","WIN",32,"Jari Kurri",NA,"Bob Essensa","1",1899-12-31 13:00:00,"PP","Great Western Forum","L","H",0,0
1993-11-30,"LAK","WIN",32,"Charlie Huddy",NA,"Bob Essensa","3",1899-12-31 16:40:00,"EV","Great Western Forum","L","H",0,0
1993-11-25,"LAK","QUE",32,"Jari Kurri","Warren Rychel","Jocelyn Thibault","2",1899-12-31 08:58:00,"PP","Quebec Coliseum","L","A",0,0
1993-11-03,"LAK","NJD",32,NA,NA,"Chris Terreri","3",1899-12-31 02:34:00,"EV","Great Western Forum","W","H",0,0
1993-10-29,"LAK","WIN",32,"Mike Donnelly",NA,"Bob Essensa","3",1899-12-31 08:06:00,"PP","Winnipeg Arena","OTW","A",0,0
1993-10-24,"LAK","NYR",32,"Mike Donnelly","Bob Jay","Mike Richter","2",1899-12-31 02:04:00,"EV","Madison Square Garden (IV)","L","A",0,0
1993-10-22,"LAK","WSH",32,"Darryl Sydor","Jari Kurri","Don Beaupre","3",1899-12-31 00:37:00,"PP","US Airways Arena","L","A",0,0
1993-10-20,"LAK","TBL",32,"Rob Blake","Luc Robitaille","Daren Puppa","2",1899-12-31 08:34:00,"PP","Thunderdome","W","A",0,0
1993-10-16,"LAK","CGY",32,"Darryl Sydor","Luc Robitaille","Jason Muzzatti","3",1899-12-31 19:30:00,"EV","Great Western Forum","W","H",0,0
1993-10-12,"LAK","NYI",32,"Luc Robitaille","Darryl Sydor","Ron Hextall","3",1899-12-31 18:16:00,"EV","Great Western Forum","W","H",0,0
1993-10-09,"LAK","DET",32,"Luc Robitaille","Tomas Sandstrom","Peter Ing","3",1899-12-31 03:38:00,"EV","Great Western Forum","W","H",0,0
1993-10-09,"LAK","DET",32,"Warren Rychel","Tomas Sandstrom","Peter Ing","3",1899-12-31 06:00:00,"EV","Great Western Forum","W","H",0,0
1993-04-15,"LAK","VAN",32,"Tomas Sandstrom","Luc Robitaille","Kay Whitmore","2",1899-12-31 06:57:00,"EV","Great Western Forum","L","H",0,0
1993-04-10,"LAK","SJS",32,"Charlie Huddy","Luc Robitaille","Arturs Irbe","1",1899-12-31 11:24:00,"EV","Cow Palace","OTW","A",0,0
1993-03-29,"LAK","DET",32,"Alexei Zhitnik",NA,"Vincent Riendeau","3",1899-12-31 03:52:00,"EV","Joe Louis Arena","W","A",0,0
1993-03-29,"LAK","DET",32,"Darryl Sydor","Luc Robitaille","Vincent Riendeau","3",1899-12-31 08:02:00,"EV","Joe Louis Arena","W","A",0,0
1993-03-26,"LAK","EDM",32,"Tomas Sandstrom","Alexei Zhitnik","Bill Ranford","1",1899-12-31 16:16:00,"EV","Northlands Coliseum","W","A",0,0
1993-03-18,"LAK","NYI",32,"Luc Robitaille","Charlie Huddy","Glenn Healy","3",1899-12-31 17:20:00,"EV","Great Western Forum","W","H",0,0
1993-03-16,"LAK","WIN",32,"Mike Donnelly",NA,"Rick Tabaracci","2",1899-12-31 01:07:00,"EV","Great Western Forum","W","H",0,0
1993-03-15,"LAK","BUF",32,"Tony Granato","Charlie Huddy",NA,"3",1899-12-31 19:24:00,"SH","Buffalo Memorial Auditorium","W","A",1,0
1993-03-11,"LAK","PIT",32,"Tony Granato","Charlie Huddy","Tom Barrasso","2",1899-12-31 06:05:00,"EV","Pittsburgh Civic Arena","OTL","A",0,0
1993-03-06,"LAK","EDM",32,"Tony Granato","Darryl Sydor","Bill Ranford","1",1899-12-31 02:12:00,"EV","Great Western Forum","W","H",0,0
1993-03-02,"LAK","CGY",32,"Tim Watters",NA,"Jeff Reese","1",1899-12-31 12:08:00,"EV","Great Western Forum","W","H",0,0
1993-03-02,"LAK","CGY",32,NA,NA,"Jeff Reese","2",1899-12-31 07:01:00,"SH","Great Western Forum","W","H",0,0
1993-02-22,"LAK","TBL",32,"Luc Robitaille","Charlie Huddy","Wendell Young","2",1899-12-31 06:03:00,"EV","Expo Hall","W","A",0,0
1993-02-17,"LAK","MNS",32,"Mike Donnelly","Tony Granato","Darcy Wakaluk","1",1899-12-31 11:51:00,"EV","Metropolitan Sports Center","W","A",0,0
1993-01-08,"LAK","WIN",31,"Luc Robitaille","Tony Granato","Bob Essensa","1",1899-12-31 15:32:00,"EV","Winnipeg Arena","L","A",0,0
1993-01-08,"LAK","WIN",31,"Paul Coffey","Dave Taylor","Bob Essensa","2",1899-12-31 06:12:00,"EV","Winnipeg Arena","L","A",0,0
1992-03-26,"LAK","CGY",31,"Tony Granato","Tim Watters","Jeff Reese","1",1899-12-31 09:04:00,"EV","Olympic Saddledome","L","A",0,0
1992-03-21,"LAK","CGY",31,"Marty McSorley","Tim Watters",NA,"3",1899-12-31 19:06:00,"EV","Great Western Forum","W","H",1,0
1992-03-21,"LAK","CGY",31,"Jari Kurri",NA,"Mike Vernon","1",1899-12-31 01:11:00,"PP","Great Western Forum","W","H",0,0
1992-03-07,"LAK","PIT",31,"Larry Robinson","John McIntyre","Tom Barrasso","3",1899-12-31 04:53:00,"SH","Great Western Forum","W","H",0,0
1992-02-29,"LAK","MTL",31,"Luc Robitaille","Jari Kurri",NA,"3",1899-12-31 19:52:00,"EV","Great Western Forum","W","H",1,0
1992-02-21,"LAK","CGY",31,"Larry Robinson","Tony Granato","Mike Vernon","1",1899-12-31 16:22:00,"EV","Olympic Saddledome","L","A",0,0
1992-02-19,"LAK","EDM",31,"Tony Granato","Luc Robitaille","Bill Ranford","1",1899-12-31 04:12:00,"PP","Northlands Coliseum","L","A",0,0
1992-02-17,"LAK","BOS",31,"Brian Benning","Luc Robitaille","Andy Moog","2",1899-12-31 17:04:00,"PP","Great Western Forum","W","H",0,0
1992-02-17,"LAK","BOS",31,"John McIntyre",NA,NA,"3",1899-12-31 18:50:00,"SH","Great Western Forum","W","H",1,0
1992-02-08,"LAK","PIT",31,"Jari Kurri","Rob Blake","Tom Barrasso","1",1899-12-31 14:21:00,"EV","Pittsburgh Civic Arena","W","A",0,0
1992-02-08,"LAK","PIT",31,"Marty McSorley","Jari Kurri","Tom Barrasso","1",1899-12-31 08:23:00,"PP","Pittsburgh Civic Arena","W","A",0,0
1992-02-01,"LAK","CHI",31,"Corey Millen",NA,NA,"3",1899-12-31 19:57:00,"EV","Great Western Forum","W","H",1,0
1992-01-28,"LAK","STL",31,"Luc Robitaille","Corey Millen","Curtis Joseph","2",1899-12-31 04:10:00,"PP","Great Western Forum","T","H",0,0
1992-01-09,"LAK","PHI",30,"Jari Kurri",NA,"Ron Hextall","2",1899-12-31 11:19:00,"PP","The Spectrum","L","A",0,0
1992-01-04,"LAK","PHI",30,"Luc Robitaille","John McIntyre","Ken Wregget","2",1899-12-31 16:00:00,"EV","Great Western Forum","W","H",0,0
1991-12-28,"LAK","EDM",30,"Larry Robinson","Rob Blake","Peter Ing","3",1899-12-31 17:38:00,"PP","Northlands Coliseum","W","A",0,0
1991-12-26,"LAK","SJS",30,"David Goverde",NA,NA,"3",1899-12-31 18:56:00,"EV","Great Western Forum","W","H",1,0
1991-12-21,"LAK","DET",30,"Jari Kurri","Charlie Huddy","Tim Cheveldae","1",1899-12-31 08:59:00,"EV","Great Western Forum","L","H",0,0
1991-12-14,"LAK","VAN",30,"Brian Benning","Charlie Huddy","Kirk McLean","2",1899-12-31 16:16:00,"EV","Great Western Forum","T","H",0,0
1991-12-12,"LAK","WIN",30,"Tony Granato","Jari Kurri","Stephane Beauregard","3",1899-12-31 11:22:00,"EV","Great Western Forum","W","H",0,0
1991-12-03,"LAK","SJS",30,"Tony Granato","Tomas Sandstrom","Jeff Hackett","1",1899-12-31 09:51:00,"EV","Cow Palace","OTL","A",0,0
1991-11-26,"LAK","TOR",30,"Charlie Huddy","Rob Blake","Grant Fuhr","2",1899-12-31 01:41:00,"PP","Great Western Forum","T","H",0,0
1991-11-23,"LAK","SJS",30,"Tony Granato",NA,"Arturs Irbe","1",1899-12-31 01:22:00,"EV","Great Western Forum","W","H",0,0
1991-11-23,"LAK","SJS",30,NA,NA,"Arturs Irbe","1",1899-12-31 16:22:00,"EV","Great Western Forum","W","H",0,0
1991-11-23,"LAK","SJS",30,"Luc Robitaille","Brian Benning","Arturs Irbe","2",1899-12-31 10:36:00,"PP","Great Western Forum","W","H",0,0
1991-11-21,"LAK","NYR",30,"Tony Granato","Tomas Sandstrom","John Vanbiesbrouck","2",1899-12-31 03:52:00,"PP","Great Western Forum","W","H",0,0
1991-11-12,"LAK","VAN",30,"Bob Kudelski","Larry Robinson","Kirk McLean","1",1899-12-31 14:17:00,"PP","Pacific Coliseum","L","A",0,0
1991-11-02,"LAK","TOR",30,"Charlie Huddy",NA,"Grant Fuhr","3",1899-12-31 01:13:00,"EV","Maple Leaf Gardens","W","A",0,0
1991-11-02,"LAK","TOR",30,"Jari Kurri","Luc Robitaille","Grant Fuhr","3",1899-12-31 18:45:00,"EV","Maple Leaf Gardens","W","A",0,0
1991-10-31,"LAK","BOS",30,"Luc Robitaille",NA,NA,"3",1899-12-31 19:37:00,"EV","Boston Garden","W","A",1,0
1991-10-30,"LAK","HAR",30,"Tomas Sandstrom","Luc Robitaille","Kay Whitmore","3",1899-12-31 17:24:00,"PP","Hartford Civic Center","T","A",0,0
