"Date","Team","Opponent","Age","Assist1","Assist2","Goalie","Period","Time","Strength","ArenaName","Result","HomeAway","ENG","PS"
1983-10-30,"EDM","NYR",22,"Charlie Huddy","Paul Coffey","Steve Weeks","2",1899-12-31 15:26:00,"EV","Madison Square Garden (IV)","OTW","A",0,0
1983-10-26,"EDM","TOR",22,"Mark Messier","Jari Kurri","Rick St. Croix","2",1899-12-31 02:43:00,"PP","Maple Leaf Gardens","L","A",0,0
1983-10-20,"EDM","LAK",22,"Paul Coffey",NA,"Mike Blake","3",1899-12-31 05:32:00,"PP","Great Western Forum","L","A",0,0
1983-10-19,"EDM","VAN",22,"Mark Messier","Paul Coffey","Richard Brodeur","3",1899-12-31 05:51:00,"EV","Pacific Coliseum","W","A",0,0
1983-10-19,"EDM","VAN",22,NA,NA,NA,"3",1899-12-31 18:55:00,"EV","Pacific Coliseum","W","A",1,0
1983-10-16,"EDM","CGY",22,"Glenn Anderson","Jari Kurri","Don Edwards","3",1899-12-31 19:07:00,"EV","Northlands Coliseum","W","H",0,0
1983-10-15,"EDM","CGY",22,"Paul Coffey","Jari Kurri","Reggie Lemelin","2",1899-12-31 01:06:00,"PP","Olympic Saddledome","W","A",0,0
1983-10-12,"EDM","DET",22,"Dave Hunter","Randy Gregg","Eddie Mio","1",1899-12-31 10:06:00,"EV","Northlands Coliseum","W","H",0,0
1983-10-12,"EDM","DET",22,"Glenn Anderson","Mark Messier","Eddie Mio","2",1899-12-31 00:27:00,"PP","Northlands Coliseum","W","H",0,0
1983-10-09,"EDM","MNS",22,"Dave Lumley","Randy Gregg","Gilles Meloche","1",1899-12-31 19:59:00,"EV","Northlands Coliseum","OTW","H",0,0
1983-10-07,"EDM","WIN",22,"Jari Kurri","Lee Fogolin","Brian Hayward","2",1899-12-31 15:47:00,"EV","Winnipeg Arena","W","A",0,0
1983-10-07,"EDM","WIN",22,"Lee Fogolin","Jari Kurri","Brian Hayward","2",1899-12-31 09:56:00,"SH","Winnipeg Arena","W","A",0,0
