"Date","Opponent","GF","GA","W","L","T","Streak","Result","HomeAway"
1990-12-11,"New York Rangers",4,6,16,8,5,"L 1","L","H"
1990-12-13,"Calgary Flames",1,4,16,9,5,"L 2","L","H"
1990-12-15,"Edmonton Oilers",8,3,17,9,5,"W 1","W","H"
1990-12-18,"Edmonton Oilers",3,4,17,10,5,"L 1","L","A"
1990-12-20,"Calgary Flames",4,3,18,10,5,"W 1","OTW","A"
1990-12-22,"Vancouver Canucks",3,4,18,11,5,"L 1","L","A"
1990-12-27,"Philadelphia Flyers",5,7,18,12,5,"L 2","L","H"
1990-12-29,"Montreal Canadiens",2,3,18,13,5,"L 3","L","H"
1990-12-31,"Minnesota North Stars",4,2,19,13,5,"W 1","W","A"
1991-01-02,"New York Rangers",1,4,19,14,5,"L 1","L","A"
1991-01-03,"New York Islanders",6,3,20,14,5,"W 1","W","A"
1991-01-05,"Toronto Maple Leafs",4,2,21,14,5,"W 2","W","A"
1991-01-06,"Chicago Blackhawks",3,1,22,14,5,"W 3","W","A"
1991-01-08,"Hartford Whalers",4,3,23,14,5,"W 4","OTW","H"
1991-01-10,"Buffalo Sabres",5,2,24,14,5,"W 5","W","H"
1991-01-12,"Vancouver Canucks",6,2,25,14,5,"W 6","W","H"
1991-01-14,"New Jersey Devils",6,1,26,14,5,"W 7","W","A"
1991-01-16,"Hartford Whalers",3,4,26,15,5,"L 1","L","A"
1991-01-17,"Boston Bruins",3,5,26,16,5,"L 2","L","A"
1991-01-22,"Edmonton Oilers",2,4,26,17,5,"L 3","L","A"
1991-01-25,"Vancouver Canucks",5,1,27,17,5,"W 1","W","A"
1991-01-26,"Vancouver Canucks",5,4,28,17,5,"W 2","W","H"
1991-01-30,"New Jersey Devils",2,4,28,18,5,"L 1","L","H"
1991-02-02,"Vancouver Canucks",9,1,29,18,5,"W 1","W","H"
1991-02-04,"Detroit Red Wings",6,4,30,18,5,"W 2","W","A"
1991-02-05,"Philadelphia Flyers",3,2,31,18,5,"W 3","W","A"
1991-02-08,"Buffalo Sabres",4,4,31,18,6,"T 1","T","A"
1991-02-09,"St. Louis Blues",4,5,31,19,6,"L 1","L","A"
1991-02-12,"Calgary Flames",4,4,31,19,7,"T 1","T","H"
1991-02-14,"Edmonton Oilers",4,2,32,19,7,"W 1","W","A"
1991-02-16,"Boston Bruins",4,5,32,20,7,"L 1","OTL","H"
1991-02-18,"Washington Capitals",5,2,33,20,7,"W 1","W","H"
1991-02-20,"Quebec Nordiques",6,1,34,20,7,"W 2","W","H"
1991-02-22,"Winnipeg Jets",6,4,35,20,7,"W 3","W","A"
1991-02-24,"Winnipeg Jets",5,3,36,20,7,"W 4","W","A"
1991-02-26,"Pittsburgh Penguins",8,2,37,20,7,"W 5","W","H"
1991-02-28,"Winnipeg Jets",4,2,38,20,7,"W 6","W","H"
1991-03-02,"Winnipeg Jets",6,3,39,20,7,"W 7","W","H"
1991-03-05,"Washington Capitals",3,3,39,20,8,"T 1","T","A"
1991-03-07,"Pittsburgh Penguins",2,3,39,21,8,"L 1","L","A"
1991-03-09,"Quebec Nordiques",3,0,40,21,8,"W 1","W","A"
1991-03-10,"Montreal Canadiens",4,4,40,21,9,"T 1","T","A"
1991-03-12,"Philadelphia Flyers",6,0,41,21,9,"W 1","W","H"
1991-03-14,"Chicago Blackhawks",3,6,41,22,9,"L 1","L","H"
1991-03-16,"Calgary Flames",4,3,42,22,9,"W 1","W","A"
1991-03-17,"Vancouver Canucks",4,5,42,23,9,"L 1","OTL","A"
1991-03-20,"Toronto Maple Leafs",4,4,42,23,10,"T 1","T","H"
1991-03-23,"Calgary Flames",8,4,43,23,10,"W 1","W","H"
1991-03-24,"Edmonton Oilers",4,3,44,23,10,"W 2","OTW","A"
1991-03-26,"Edmonton Oilers",2,0,45,23,10,"W 3","W","H"
1991-03-28,"Minnesota North Stars",6,5,46,23,10,"W 4","W","H"
1991-03-31,"Calgary Flames",3,5,46,24,10,"L 1","L","A"
1991-10-04,"Winnipeg Jets",6,3,1,0,0,"W 1","W","A"
1991-10-06,"Edmonton Oilers",2,2,1,0,1,"T 1","T","A"
1991-10-08,"Edmonton Oilers",6,3,2,0,1,"W 1","W","H"
1991-10-10,"Calgary Flames",1,7,2,1,1,"L 1","L","H"
1991-10-12,"Winnipeg Jets",3,3,2,1,2,"T 1","T","H"
1991-10-16,"San Jose Sharks",8,5,3,1,2,"W 1","W","H"
1991-10-19,"Minnesota North Stars",5,2,4,1,2,"W 2","W","H"
1991-10-22,"New Jersey Devils",2,5,4,2,2,"L 1","L","A"
1991-10-23,"New York Rangers",2,7,4,3,2,"L 2","L","A"
1991-10-26,"New York Islanders",4,2,5,3,2,"W 1","W","A"
1991-10-28,"Detroit Red Wings",4,3,6,3,2,"W 2","W","A"
1991-10-30,"Hartford Whalers",4,4,6,3,3,"T 1","T","A"
1991-10-31,"Boston Bruins",4,2,7,3,3,"W 1","W","A"
1991-11-02,"Toronto Maple Leafs",5,2,8,3,3,"W 2","W","A"
1991-11-07,"Vancouver Canucks",3,4,8,4,3,"L 1","L","H"
1991-11-09,"Edmonton Oilers",4,4,8,4,4,"T 1","T","H"
1991-11-11,"Winnipeg Jets",2,6,8,5,4,"L 1","L","A"
1991-11-12,"Vancouver Canucks",2,8,8,6,4,"L 2","L","A"
1991-11-14,"Buffalo Sabres",2,2,8,6,5,"T 1","T","H"
1991-11-16,"Detroit Red Wings",3,5,8,7,5,"L 1","L","H"
1991-11-19,"San Jose Sharks",3,2,9,7,5,"W 1","OTW","A"
1991-11-21,"New York Rangers",6,1,10,7,5,"W 2","W","H"
1991-11-23,"San Jose Sharks",6,4,11,7,5,"W 3","W","H"
1991-11-26,"Toronto Maple Leafs",4,4,11,7,6,"T 1","T","H"
1991-11-28,"Calgary Flames",3,5,11,8,6,"L 1","L","A"
1991-11-30,"New Jersey Devils",1,4,11,9,6,"L 2","L","H"
1991-12-03,"San Jose Sharks",2,3,11,10,6,"L 3","OTL","A"
1991-12-05,"Chicago Blackhawks",2,6,11,11,6,"L 4","L","A"
1991-12-07,"Quebec Nordiques",5,7,11,12,6,"L 5","L","A"
1991-12-12,"Winnipeg Jets",2,1,12,12,6,"W 1","W","H"
1991-12-14,"Vancouver Canucks",4,4,12,12,7,"T 1","T","H"
1991-12-17,"Minnesota North Stars",1,2,12,13,7,"L 1","L","H"
1991-12-21,"Detroit Red Wings",2,5,12,14,7,"L 2","L","H"
1991-12-26,"San Jose Sharks",5,3,13,14,7,"W 1","W","H"
1991-12-28,"Edmonton Oilers",9,4,14,14,7,"W 2","W","A"
1991-12-29,"Calgary Flames",2,6,14,15,7,"L 1","L","A"
1991-12-31,"Vancouver Canucks",3,5,14,16,7,"L 2","L","H"
1992-01-02,"Edmonton Oilers",5,3,15,16,7,"W 1","W","H"
1992-01-04,"Philadelphia Flyers",7,3,16,16,7,"W 2","W","H"
1992-01-07,"Pittsburgh Penguins",5,2,17,16,7,"W 3","W","A"
1992-01-09,"Philadelphia Flyers",2,5,17,17,7,"L 1","L","A"
1992-01-10,"Washington Capitals",4,7,17,18,7,"L 2","L","A"
1992-01-12,"New Jersey Devils",2,5,17,19,7,"L 3","L","A"
1992-01-14,"San Jose Sharks",3,3,17,19,8,"T 1","T","H"
1992-01-16,"Washington Capitals",2,2,17,19,9,"T 2","T","H"
1992-01-22,"Minnesota North Stars",3,3,17,19,10,"T 3","T","A"
1992-01-23,"St. Louis Blues",6,5,18,19,10,"W 1","W","A"
1992-01-25,"Calgary Flames",4,3,19,19,10,"W 2","W","H"
1992-01-28,"St. Louis Blues",3,3,19,19,11,"T 1","T","H"
1992-01-30,"New York Rangers",1,4,19,20,11,"L 1","L","H"
1992-02-01,"Chicago Blackhawks",2,0,20,20,11,"W 1","W","H"
1992-02-04,"New York Islanders",1,2,20,21,11,"L 1","L","H"
1992-02-06,"Hartford Whalers",5,5,20,21,12,"T 1","T","H"
1992-02-08,"Pittsburgh Penguins",4,3,21,21,12,"W 1","W","A"
1992-02-09,"Buffalo Sabres",5,4,22,21,12,"W 2","W","A"
1992-02-11,"St. Louis Blues",2,3,22,22,12,"L 1","L","A"
1992-02-13,"Chicago Blackhawks",2,2,22,22,13,"T 1","T","A"
1992-02-15,"Washington Capitals",6,3,23,22,13,"W 1","W","H"
1992-02-17,"Boston Bruins",6,3,24,22,13,"W 2","W","H"
1992-02-19,"Edmonton Oilers",3,4,24,23,13,"L 1","L","A"
1992-02-21,"Calgary Flames",7,9,24,24,13,"L 2","L","A"
1992-02-23,"Winnipeg Jets",4,2,25,24,13,"W 1","W","A"
1992-02-25,"Vancouver Canucks",4,3,26,24,13,"W 2","W","A"
1992-02-27,"Quebec Nordiques",4,2,27,24,13,"W 3","W","H"
1992-02-29,"Montreal Canadiens",5,3,28,24,13,"W 4","W","H"
1992-03-03,"Philadelphia Flyers",4,1,29,24,13,"W 5","W","H"
1992-03-04,"San Jose Sharks",4,3,30,24,13,"W 6","W","A"
1992-03-07,"Pittsburgh Penguins",5,3,31,24,13,"W 7","W","H"
1992-03-09,"Toronto Maple Leafs",4,1,32,24,13,"W 8","W","H"
1992-03-11,"Hartford Whalers",0,4,32,25,13,"L 1","L","A"
1992-03-14,"Montreal Canadiens",2,5,32,26,13,"L 2","L","A"
1992-03-15,"Boston Bruins",1,5,32,27,13,"L 3","L","A"
1992-03-17,"Winnipeg Jets",5,4,33,27,13,"W 1","W","H"
1992-03-19,"Buffalo Sabres",2,8,33,28,13,"L 1","L","H"
1992-03-21,"Calgary Flames",5,2,34,28,13,"W 1","W","H"
1992-03-26,"Calgary Flames",2,7,34,29,13,"L 1","L","A"
1992-03-27,"Winnipeg Jets",4,6,34,30,13,"L 2","L","A"
1992-03-29,"Edmonton Oilers",2,2,34,30,14,"T 1","T","A"
1992-04-12,"Vancouver Canucks",6,1,35,30,14,"W 1","W","A"
1992-04-14,"Vancouver Canucks",2,3,35,31,14,"L 1","L","H"
1992-10-06,"Calgary Flames",5,4,1,0,0,"W 1","OTW","A"
1992-10-08,"Detroit Red Wings",3,5,1,1,0,"L 1","L","H"
1992-10-10,"Winnipeg Jets",6,3,2,1,0,"W 1","W","H"
1992-10-13,"San Jose Sharks",2,1,3,1,0,"W 2","W","H"
1992-10-15,"Calgary Flames",4,0,4,1,0,"W 3","W","H"
1992-10-17,"Boston Bruins",8,6,5,1,0,"W 4","W","H"
1992-10-20,"Calgary Flames",2,6,5,2,0,"L 1","L","A"
1992-10-23,"Winnipeg Jets",2,4,5,3,0,"L 2","L","A"
1992-10-24,"Minnesota North Stars",5,5,5,3,1,"T 1","T","A"
1992-10-27,"New York Islanders",4,3,6,3,1,"W 1","W","A"
1992-10-29,"Boston Bruins",3,8,6,4,1,"L 1","L","A"
1992-10-31,"Hartford Whalers",7,1,7,4,1,"W 1","W","A"
1992-11-05,"New Jersey Devils",5,2,8,4,1,"W 2","W","H"
1992-11-07,"Buffalo Sabres",5,2,9,4,1,"W 3","W","H"
1992-11-08,"San Jose Sharks",11,4,10,4,1,"W 4","W","A"
1992-11-10,"Winnipeg Jets",4,4,10,4,2,"T 1","T","A"
1992-11-12,"Vancouver Canucks",7,4,11,4,2,"W 1","W","H"
1992-11-14,"Edmonton Oilers",6,2,12,4,2,"W 2","W","H"
1992-11-16,"Vancouver Canucks",3,6,12,5,2,"L 1","L","A"
1992-11-17,"San Jose Sharks",0,6,12,6,2,"L 2","L","A"
1992-11-19,"Chicago Blackhawks",4,1,13,6,2,"W 1","W","H"
1992-11-21,"Toronto Maple Leafs",6,4,14,6,2,"W 2","W","H"
1992-11-25,"Edmonton Oilers",3,1,15,6,2,"W 3","W","A"
1992-11-27,"Detroit Red Wings",5,3,16,6,2,"W 4","W","A"
1992-11-28,"Toronto Maple Leafs",2,3,16,7,2,"L 1","L","A"
1992-12-01,"Chicago Blackhawks",6,3,17,7,2,"W 1","W",NA
1992-12-03,"Pittsburgh Penguins",5,3,18,7,2,"W 2","W","H"
1992-12-05,"Hartford Whalers",7,3,19,7,2,"W 3","W","H"
1992-12-08,"Montreal Canadiens",5,5,19,7,3,"T 1","T",NA
1992-12-10,"Quebec Nordiques",4,5,19,8,3,"L 1","L","H"
1992-12-12,"St. Louis Blues",6,3,20,8,3,"W 1","W","H"
1992-12-15,"Tampa Bay Lightning",2,3,20,9,3,"L 1","L","H"
1992-12-18,"Edmonton Oilers",5,5,20,9,4,"T 1","T","A"
1992-12-19,"Calgary Flames",3,5,20,10,4,"L 1","L","A"
1992-12-22,"Vancouver Canucks",2,6,20,11,4,"L 2","L","H"
1992-12-26,"San Jose Sharks",2,7,20,12,4,"L 3","L","A"
1992-12-29,"Philadelphia Flyers",2,10,20,13,4,"L 4","L","H"
1992-12-31,"Vancouver Canucks",0,4,20,14,4,"L 5","L","A"
1993-01-02,"Montreal Canadiens",5,5,20,14,5,"T 1","T","H"
1993-01-06,"Tampa Bay Lightning",3,6,20,15,5,"L 1","L","H"
1993-01-08,"Winnipeg Jets",3,6,20,16,5,"L 2","L","A"
1993-01-10,"Chicago Blackhawks",5,4,21,16,5,"W 1","W","A"
1993-01-12,"Ottawa Senators",3,2,22,16,5,"W 2","W","A"
1993-01-14,"New Jersey Devils",1,7,22,17,5,"L 1","L","A"
1993-01-16,"Winnipeg Jets",2,5,22,18,5,"L 2","L","H"
1993-01-19,"Edmonton Oilers",5,4,23,18,5,"W 1","W","A"
1993-01-21,"Vancouver Canucks",4,5,23,19,5,"L 1","L","H"
1993-01-23,"New York Rangers",3,8,23,20,5,"L 2","L","H"
1993-01-26,"San Jose Sharks",7,1,24,20,5,"W 1","W","H"
1993-01-28,"Calgary Flames",1,2,24,21,5,"L 1","L","H"
1993-01-30,"Chicago Blackhawks",2,2,24,21,6,"T 1","T","H"
1993-02-02,"Quebec Nordiques",2,3,24,22,6,"L 1","L","A"
1993-02-03,"Montreal Canadiens",2,7,24,23,6,"L 2","L","A"
1993-02-09,"Edmonton Oilers",3,6,24,24,6,"L 3","L","H"
1993-02-11,"Detroit Red Wings",6,6,24,24,7,"T 1","T","H"
1993-02-13,"Washington Capitals",3,10,24,25,7,"L 1","L","H"
1993-02-15,"Vancouver Canucks",3,0,25,25,7,"W 1","W","H"
1993-02-17,"Minnesota North Stars",10,5,26,25,7,"W 2","W","A"
1993-02-18,"Chicago Blackhawks",2,7,26,26,7,"L 1","L","A"
1993-02-20,"Washington Capitals",3,7,26,27,7,"L 2","L","A"
1993-02-22,"Tampa Bay Lightning",5,2,27,27,7,"W 1","W","A"
1993-02-25,"St. Louis Blues",0,3,27,28,7,"L 1","L","A"
1993-02-27,"Toronto Maple Leafs",2,5,27,29,7,"L 2","L","H"
1993-03-02,"Calgary Flames",6,2,28,29,7,"W 1","W","H"
1993-03-04,"Ottawa Senators",8,6,29,29,7,"W 2","W","H"
1993-03-06,"Edmonton Oilers",6,1,30,29,7,"W 3","W","H"
1993-03-09,"New York Rangers",3,4,30,30,7,"L 1","L","A"
1993-03-11,"Pittsburgh Penguins",3,4,30,31,7,"L 2","OTL","A"
1993-03-15,"Buffalo Sabres",4,2,31,31,7,"W 1","W","A"
1993-03-16,"Winnipeg Jets",8,4,32,31,7,"W 2","W","H"
1993-03-18,"New York Islanders",7,4,33,31,7,"W 3","W","H"
1993-03-20,"St. Louis Blues",3,2,34,31,7,"W 4","W","H"
1993-03-24,"Vancouver Canucks",2,6,34,32,7,"L 1","L","A"
1993-03-26,"Edmonton Oilers",4,1,35,32,7,"W 1","W","A"
1993-03-28,"Winnipeg Jets",3,3,35,32,8,"T 1","T","A"
1993-03-29,"Detroit Red Wings",9,3,36,32,8,"W 1","W","A"
1993-03-31,"Toronto Maple Leafs",5,5,36,32,9,"T 1","T","A"
1993-04-01,"Philadelphia Flyers",3,1,37,32,9,"W 1","W","A"
1993-04-03,"Minnesota North Stars",0,3,37,33,9,"L 1","L","H"
1993-04-06,"Calgary Flames",3,3,37,33,10,"T 1","T","H"
1993-04-08,"San Jose Sharks",2,1,38,33,10,"W 1","W","H"
1993-04-10,"San Jose Sharks",3,2,39,33,10,"W 2","OTW","A"
1993-04-13,"Vancouver Canucks",4,7,39,34,10,"L 1","L","A"
1993-04-15,"Vancouver Canucks",6,8,39,35,10,"L 2","L","H"
1993-10-06,"Vancouver Canucks",2,5,0,1,0,"L 1","L","H"
1993-10-09,"Detroit Red Wings",10,3,1,1,0,"W 1","W","H"
1993-10-10,"San Jose Sharks",5,2,2,1,0,"W 2","W","H"
1993-10-12,"New York Islanders",7,5,3,1,0,"W 3","W","H"
1993-10-14,"Edmonton Oilers",4,4,3,1,1,"T 1","T","H"
1993-10-16,"Calgary Flames",8,4,4,1,1,"W 1","W","H"
1993-10-19,"Florida Panthers",2,2,4,1,2,"T 1","T","A"
1993-10-20,"Tampa Bay Lightning",4,3,5,1,2,"W 1","W","A"
1993-10-22,"Washington Capitals",3,6,5,2,2,"L 1","L","A"
1993-10-24,"New York Rangers",2,3,5,3,2,"L 2","L","A"
1993-10-26,"New York Islanders",0,7,5,4,2,"L 3","L","A"
1993-10-27,"Detroit Red Wings",3,8,5,5,2,"L 4","L","A"
1993-10-29,"Winnipeg Jets",4,3,6,5,2,"W 1","OTW","A"
1993-11-03,"New Jersey Devils",3,2,7,5,2,"W 2","W","H"
1993-11-06,"Pittsburgh Penguins",8,3,8,5,2,"W 3","W","H"
1993-11-09,"Calgary Flames",2,3,8,6,2,"L 1","L","A"
1993-11-10,"Vancouver Canucks",0,4,8,7,2,"L 2","L","A"
1993-11-13,"St. Louis Blues",6,3,9,7,2,"W 1","W","H"
1993-11-18,"Toronto Maple Leafs",2,3,9,8,2,"L 1","L","H"
1993-11-20,"St. Louis Blues",1,4,9,9,2,"L 2","L","A"
1993-11-21,"Dallas Stars",4,7,9,10,2,"L 3","L","A"
1993-11-25,"Quebec Nordiques",6,8,9,11,2,"L 4","L","A"
1993-11-27,"Montreal Canadiens",0,4,9,12,2,"L 5","L","A"
1993-11-30,"Winnipeg Jets",6,8,9,13,2,"L 6","L","H"
1993-12-02,"Mighty Ducks of Anaheim",3,2,10,13,2,"W 1","W","H"
1993-12-04,"Tampa Bay Lightning",4,5,10,14,2,"L 1","L","H"
1993-12-08,"Florida Panthers",5,6,10,15,2,"L 2","L","H"
1993-12-11,"St. Louis Blues",9,1,11,15,2,"W 1","W","H"
1993-12-13,"Ottawa Senators",2,5,11,16,2,"L 1","L","A"
1993-12-14,"Pittsburgh Penguins",2,4,11,17,2,"L 2","L","A"
1993-12-17,"Buffalo Sabres",0,2,11,18,2,"L 3","L","A"
1993-12-18,"Toronto Maple Leafs",1,4,11,19,2,"L 4","L","A"
1993-12-20,"Calgary Flames",5,4,12,19,2,"W 1","OTW","A"
1993-12-23,"Dallas Stars",1,2,12,20,2,"L 1","L","H"
1993-12-26,"Mighty Ducks of Anaheim",3,2,13,20,2,"W 1","W","A"
1993-12-28,"Vancouver Canucks",6,5,14,20,2,"W 2","W","H"
1993-12-31,"Detroit Red Wings",4,4,14,20,3,"T 1","T","A"
1994-01-01,"Toronto Maple Leafs",7,4,15,20,3,"W 1","W","A"
1994-01-04,"Quebec Nordiques",5,1,16,20,3,"W 2","W","H"
1994-01-08,"Detroit Red Wings",3,6,16,21,3,"L 1","L","H"
1994-01-11,"San Jose Sharks",2,2,16,21,4,"T 1","T","A"
1994-01-12,"Hartford Whalers",6,4,17,21,4,"W 1","W","H"
1994-01-15,"New Jersey Devils",5,3,18,21,4,"W 2","W","A"
1994-01-16,"Philadelphia Flyers",2,5,18,22,4,"L 1","L","A"
1994-01-18,"Dallas Stars",3,5,18,23,4,"L 2","L","A"
1994-01-24,"Calgary Flames",3,3,18,23,5,"T 1","T",NA
1994-01-25,"Winnipeg Jets",4,4,18,23,6,"T 2","T","H"
1994-01-27,"New York Rangers",4,5,18,24,6,"L 1","OTL","H"
1994-01-29,"Mighty Ducks of Anaheim",5,1,19,24,6,"W 1","W","H"
1994-01-31,"Vancouver Canucks",1,3,19,25,6,"L 1","L","A"
1994-02-02,"Edmonton Oilers",4,6,19,26,6,"L 2","L","A"
1994-02-05,"Calgary Flames",4,5,19,27,6,"L 3","OTL","H"
1994-02-09,"Chicago Blackhawks",4,2,20,27,6,"W 1","W","H"
1994-02-11,"Mighty Ducks of Anaheim",5,3,21,27,6,"W 2","W","A"
1994-02-12,"Washington Capitals",1,6,21,28,6,"L 1","L","H"
1994-02-14,"Boston Bruins",2,3,21,29,6,"L 2","OTL","H"
1994-02-18,"Philadelphia Flyers",3,4,21,30,6,"L 3","L","H"
1994-02-19,"San Jose Sharks",3,4,21,31,6,"L 4","L","A"
1994-02-21,"Toronto Maple Leafs",4,6,21,32,6,"L 5","L","H"
1994-02-23,"Dallas Stars",0,0,21,32,7,"T 1","T","H"
1994-02-25,"Edmonton Oilers",5,5,21,32,8,"T 2","T","A"
1994-02-26,"Calgary Flames",2,4,21,33,8,"L 1","L","A"
1994-02-28,"Montreal Canadiens",3,3,21,33,9,"T 1","T","H"
1994-03-02,"Hartford Whalers",4,1,22,33,9,"W 1","W","A"
1994-03-03,"Boston Bruins",4,6,22,34,9,"L 1","L","A"
1994-03-06,"Chicago Blackhawks",3,3,22,34,10,"T 1","T","A"
1994-03-09,"Chicago Blackhawks",0,4,22,35,10,"L 1","L","H"
1994-03-12,"Buffalo Sabres",3,5,22,36,10,"L 2","L","H"
1994-03-15,"Ottawa Senators",7,0,23,36,10,"W 1","W","H"
1994-03-16,"Mighty Ducks of Anaheim",2,5,23,37,10,"L 1","L","A"
1994-03-19,"San Jose Sharks",2,1,24,37,10,"W 1","W","H"
1994-03-20,"San Jose Sharks",6,6,24,37,11,"T 1","T","A"
1994-03-23,"Vancouver Canucks",3,6,24,38,11,"L 1","L","H"
1994-03-25,"Edmonton Oilers",4,3,25,38,11,"W 1","OTW","A"
1994-03-27,"Vancouver Canucks",3,4,25,39,11,"L 1","L","A"
1994-03-30,"Mighty Ducks of Anaheim",2,5,25,40,11,"L 2","L","H"
1994-04-02,"Edmonton Oilers",3,5,25,41,11,"L 3","L","H"
1994-04-03,"Edmonton Oilers",6,1,26,41,11,"W 1","W",NA
1994-04-05,"San Jose Sharks",1,2,26,42,11,"L 1","L","H"
1994-04-07,"St. Louis Blues",2,6,26,43,11,"L 2","L","A"
1994-04-09,"Winnipeg Jets",3,4,26,44,11,"L 3","L","A"
1994-04-10,"Chicago Blackhawks",1,2,26,45,11,"L 4","L","A"
1994-04-13,"Calgary Flames",6,4,27,45,11,"W 1","W","H"
1994-04-14,"Edmonton Oilers",2,2,27,45,12,"T 1","T","H"
1995-01-20,"Toronto Maple Leafs",3,3,0,0,1,"T 1","T","H"
1995-01-22,"Edmonton Oilers",3,4,0,1,1,"L 1","L","H"
1995-01-24,"Dallas Stars",2,4,0,2,1,"L 2","L","H"
1995-01-26,"St. Louis Blues",1,3,0,3,1,"L 3","L","A"
1995-01-28,"Winnipeg Jets",4,2,1,3,1,"W 1","W","H"
1995-01-29,"Chicago Blackhawks",3,6,1,4,1,"L 1","L","H"
1995-02-04,"Detroit Red Wings",4,3,2,4,1,"W 1","W","H"
1995-02-05,"Mighty Ducks of Anaheim",2,3,2,5,1,"L 1","L","H"
1995-02-07,"St. Louis Blues",5,5,2,5,2,"T 1","T","A"
1995-02-11,"Toronto Maple Leafs",5,2,3,5,2,"W 1","W","A"
1995-02-12,"Detroit Red Wings",4,4,3,5,3,"T 1","T","A"
1995-02-15,"Dallas Stars",3,1,4,5,3,"W 1","W","A"
1995-02-17,"San Jose Sharks",0,2,4,6,3,"L 1","L","H"
1995-02-18,"Vancouver Canucks",2,6,4,7,3,"L 2","L","H"
1995-02-20,"Vancouver Canucks",2,8,4,8,3,"L 3","L","A"
1995-02-23,"Calgary Flames",3,3,4,8,4,"T 1","T","H"
1995-02-25,"Edmonton Oilers",4,3,5,8,4,"W 1","W","A"
1995-02-28,"Chicago Blackhawks",4,8,5,9,4,"L 1","L","H"
1995-03-04,"Vancouver Canucks",4,5,5,10,4,"L 2","L","H"
1995-03-06,"Dallas Stars",2,8,5,11,4,"L 3","L","A"
1995-03-09,"Chicago Blackhawks",4,3,6,11,4,"W 1","W","A"
1995-03-11,"Winnipeg Jets",4,2,7,11,4,"W 2","W","A"
1995-03-13,"Toronto Maple Leafs",4,1,8,11,4,"W 3","W","A"
1995-03-14,"Detroit Red Wings",2,5,8,12,4,"L 1","L","A"
1995-03-16,"St. Louis Blues",2,2,8,12,5,"T 1","T","H"
1995-03-18,"Toronto Maple Leafs",3,5,8,13,5,"L 1","L","H"
1995-03-20,"St. Louis Blues",5,3,9,13,5,"W 1","W","H"
1995-03-21,"Mighty Ducks of Anaheim",3,3,9,13,6,"T 1","T","A"
1995-03-25,"San Jose Sharks",1,3,9,14,6,"L 1","L","H"
1995-03-26,"San Jose Sharks",7,3,10,14,6,"W 1","W","A"
1995-03-28,"Calgary Flames",5,3,11,14,6,"W 2","W","A"
1995-03-29,"Vancouver Canucks",2,5,11,15,6,"L 1","L","A"
1995-04-01,"Winnipeg Jets",7,7,11,15,7,"T 1","T","H"
1995-04-03,"Edmonton Oilers",7,2,12,15,7,"W 1","W","H"
1995-04-06,"Dallas Stars",3,2,13,15,7,"W 2","W","H"
1995-04-07,"Calgary Flames",4,7,13,16,7,"L 1","L","A"
1995-04-09,"Mighty Ducks of Anaheim",1,5,13,17,7,"L 2","L","A"
1995-04-12,"Calgary Flames",1,4,13,18,7,"L 3","L","H"
1995-04-16,"San Jose Sharks",0,2,13,19,7,"L 4","L","A"
1995-04-17,"Calgary Flames",2,5,13,20,7,"L 5","L","A"
1995-04-19,"Edmonton Oilers",0,2,13,21,7,"L 6","L","A"
1995-04-21,"Edmonton Oilers",3,3,13,21,8,"T 1","T","H"
1995-04-23,"Mighty Ducks of Anaheim",2,2,13,21,9,"T 2","T","H"
1995-04-25,"Detroit Red Wings",5,1,14,21,9,"W 1","W","H"
1995-04-28,"San Jose Sharks",0,4,14,22,9,"L 1","L","A"
1995-04-30,"Mighty Ducks of Anaheim",2,1,15,22,9,"W 1","W","H"
1995-05-02,"Winnipeg Jets",2,1,16,22,9,"W 2","W","A"
1995-05-03,"Chicago Blackhawks",1,5,16,23,9,"L 1","L","A"
1995-10-07,"Colorado Avalanche",4,2,1,0,0,"W 1","W","H"
1995-10-10,"Chicago Blackhawks",6,5,2,0,0,"W 2","OTW","H"
1995-10-12,"Vancouver Canucks",7,7,2,0,1,"T 1","T","H"
1995-10-15,"Vancouver Canucks",3,3,2,0,2,"T 2","T","A"
1995-10-18,"Philadelphia Flyers",1,1,2,0,3,"T 3","T","H"
1995-10-20,"Washington Capitals",7,4,3,0,3,"W 1","W","A"
1995-10-21,"Pittsburgh Penguins",3,2,4,0,3,"W 2","OTW","A"
1995-10-23,"Montreal Canadiens",3,6,4,1,3,"L 1","L","A"
1995-10-26,"Ottawa Senators",4,5,4,2,3,"L 2","L","A"
1995-10-28,"Toronto Maple Leafs",2,2,4,2,4,"T 1","T","A"
1995-10-31,"Calgary Flames",1,2,4,3,4,"L 1","L","H"
1995-11-02,"New York Rangers",5,3,5,3,4,"W 1","W","H"
1995-11-04,"New Jersey Devils",2,4,5,4,4,"L 1","L","H"
1995-11-07,"St. Louis Blues",1,0,6,4,4,"W 1","W","A"
1995-11-08,"Dallas Stars",3,3,6,4,5,"T 1","T","A"
1995-11-11,"Pittsburgh Penguins",3,2,7,4,5,"W 1","W","H"
1995-11-13,"Mighty Ducks of Anaheim",4,2,8,4,5,"W 2","W","A"
1995-11-14,"Detroit Red Wings",5,6,8,5,5,"L 1","L","H"
1995-11-16,"New York Islanders",9,2,9,5,5,"W 1","W","H"
1995-11-18,"Florida Panthers",3,2,10,5,5,"W 2","W","H"
