"Date","Opponent","GF","GA","W","L","T","Streak","Result","HomeAway"
1983-03-02,"Washington Capitals",5,3,37,19,11,"W 3","W","A"
1983-03-05,"Toronto Maple Leafs",6,3,38,19,11,"W 4","W","A"
1983-03-06,"Boston Bruins",2,5,38,20,11,"L 1","L","A"
1983-03-08,"Hartford Whalers",9,4,39,20,11,"W 1","W","A"
1983-03-11,"New York Rangers",3,1,40,20,11,"W 2","W","H"
1983-03-13,"Buffalo Sabres",6,2,41,20,11,"W 3","W","H"
1983-03-16,"Vancouver Canucks",4,3,42,20,11,"W 4","W","H"
1983-03-19,"Detroit Red Wings",9,7,43,20,11,"W 5","W","H"
1983-03-21,"Toronto Maple Leafs",4,1,44,20,11,"W 6","W","A"
1983-03-23,"Winnipeg Jets",4,7,44,21,11,"L 1","L","A"
1983-03-26,"Los Angeles Kings",9,3,45,21,11,"W 1","W","A"
1983-03-29,"Vancouver Canucks",7,4,46,21,11,"W 2","W","A"
1983-04-01,"Winnipeg Jets",7,2,47,21,11,"W 3","W","H"
1983-04-03,"Calgary Flames",3,3,47,21,12,"T 1","T","H"
1983-10-05,"Toronto Maple Leafs",5,4,1,0,0,"W 1","W","H"
1983-10-07,"Winnipeg Jets",8,6,2,0,0,"W 2","W","A"
1983-10-09,"Minnesota North Stars",4,3,3,0,0,"W 3","OTW","H"
1983-10-12,"Detroit Red Wings",8,3,4,0,0,"W 4","W","H"
1983-10-15,"Calgary Flames",4,3,5,0,0,"W 5","W","A"
1983-10-16,"Calgary Flames",5,1,6,0,0,"W 6","W","H"
1983-10-19,"Vancouver Canucks",10,7,7,0,0,"W 7","W","A"
1983-10-20,"Los Angeles Kings",2,7,7,1,0,"L 1","L","A"
1983-10-22,"Vancouver Canucks",5,5,7,1,1,"T 1","T","H"
1983-10-26,"Toronto Maple Leafs",3,8,7,2,1,"L 1","L","A"
1983-10-29,"Montreal Canadiens",3,1,8,2,1,"W 1","W","A"
1983-10-30,"New York Rangers",5,4,9,2,1,"W 2","OTW","A"
1983-11-02,"Washington Capitals",11,3,10,2,1,"W 3","W","H"
1983-11-05,"Pittsburgh Penguins",7,3,11,2,1,"W 4","W","H"
1983-11-06,"Winnipeg Jets",8,5,12,2,1,"W 5","W","A"
1983-11-08,"Quebec Nordiques",7,4,13,2,1,"W 6","W","A"
1983-11-09,"Washington Capitals",7,4,14,2,1,"W 7","W","A"
1983-11-12,"Detroit Red Wings",7,3,15,2,1,"W 8","W","A"
